         22117845 function calls (22082351 primitive calls) in 663.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  159/127    0.003    0.000    0.206    0.002 <frozen importlib._bootstrap>:1002(_find_and_load)
       96    0.003    0.000    0.163    0.002 <frozen importlib._bootstrap>:901(_find_spec)
       89    0.003    0.000    0.041    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\common\sorting.py:99(sorted_robust)
      434    0.002    0.000    0.006    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\cell_style.py:126(to_array)
   259/50    0.002    0.000    0.008    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\block.py:885(_add_implicit_sets)
     2338    0.002    0.000    0.003    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\var.py:155(is_continuous)
       63    0.002    0.000    0.008    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\internals\managers.py:2008(_form_blocks)
     2353    0.002    0.000    0.003    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\var.py:346(set_value)
     1590    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      144    0.002    0.000    2.962    0.021 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\document.py:41(opendoc)
      124    0.002    0.000    0.006    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\util\version\__init__.py:336(__init__)
      186    0.002    0.000    0.086    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\named_styles.py:114(_recalculate)
      144    0.002    0.000    0.003    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\manifest.py:23(create_new_file_entry)
      248    0.002    0.000    0.013    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\fills.py:96(_from_tree)
     1736    0.002    0.000    0.003    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\base.py:245(__set__)
      682    0.002    0.000    0.016    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\colors.py:80(__init__)
   260/53    0.002    0.000    0.046    0.001 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\indexed_component.py:272(__init__)
      682    0.002    0.000    0.013    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\cell\text.py:161(__init__)
      682    0.002    0.000    0.004    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\cell\text.py:173(content)
     1836    0.002    0.000    0.005    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablenormalizer.py:116(__init__)
     3782    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\cell_style.py:29(__set__)
      432    0.002    0.000    0.038    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\set.py:112(process_setarg)
      124    0.002    0.000    0.015    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\worksheet\views.py:83(__init__)
      144    0.002    0.000    0.004    0.000 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\model_preparation.py:622(DCPF_rule)
       93    0.002    0.000    0.005    0.000 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\model_preparation.py:615(nodeBalanceQ_rule)
       63    0.002    0.000    0.004    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\parsers\python_parser.py:340(_infer_columns)
       16    0.002    0.000    0.010    0.001 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\var.py:686(construct)
       63    0.002    0.000    0.148    0.002 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\internals\construction.py:425(dict_to_mgr)
        2    0.002    0.001  380.569  190.284 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\investment_model_pt2.py:83(runACOPF)
     1364    0.002    0.000    0.008    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\worksheet\hyperlink.py:44(__init__)
       11    0.002    0.000    0.006    0.001 {method 'read' of '_io.TextIOWrapper' objects}
     1839    0.002    0.000    0.002    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablenormalizer.py:22(set_maxcount)
      126    0.002    0.000    0.009    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablecolumncontroller.py:22(expand_element)
      144    0.002    0.000    0.019    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\content.py:29(_setup_references)
      144    0.002    0.000    0.180    0.001 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\filemanager.py:124(get_text)
        1    0.002    0.002    0.003    0.003 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\model_preparation.py:204(_create_edges_graph)
     1064    0.002    0.000    0.006    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\dtypes\common.py:161(is_object_dtype)
     2898    0.002    0.000    0.002    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablerowcontroller.py:54(row)
     1620    0.002    0.000    0.002    0.000 {method 'rfind' of 'str' objects}
       63    0.002    0.000    0.003    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\parsers\base_parser.py:83(__init__)
       33    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
     9352    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\set.py:4188(bounds)
     2898    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\component.py:855(parent_block)
       62    0.002    0.000    0.008    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\stylesheet.py:154(_normalise_numbers)
     7015    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
      163    0.002    0.000    0.005    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\set.py:3929(_iter_impl)
        2    0.002    0.001    0.002    0.001 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\expr\symbol_map.py:73(addSymbols)
       62    0.002    0.000    0.035    0.001 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\cell_style.py:188(_to_array)
       63    0.002    0.000    0.017    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\internals\construction.py:596(_homogenize)
       62    0.002    0.000   11.918    0.192 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\excel\_openpyxl.py:533(load_workbook)
     4310    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      992    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\nested.py:38(from_tree)
      562    0.002    0.000    0.005    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\series.py:640(name)
       63    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\parsers\readers.py:1019(_clean_options)
      279    0.002    0.000    0.002    0.000 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\investment_model_pt1.py:199(<listcomp>)
     1058    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
       62    0.002    0.000    0.214    0.003 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\workbook\workbook.py:58(__init__)
      125    0.002    0.000    0.016    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\series.py:4435(_reduce)
      126    0.002    0.000    0.011    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\common.py:251(_get_filepath_or_buffer)
      930    0.002    0.000    0.009    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\borders.py:49(__init__)
     4536    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\component.py:1048(active)
     1423    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\set.py:1560(_add_impl)
1403/1340    0.002    0.000    0.009    0.000 {built-in method builtins.all}
      372    0.002    0.000    0.016    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\worksheet\header_footer.py:146(__init__)
      144    0.002    0.000    0.013    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\styles.py:29(_setup)
      144    0.002    0.000    0.002    0.000 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\model_preparation.py:494(braPN_rule)
       63    0.002    0.000    0.003    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\excel\_base.py:1272(<listcomp>)
     2338    0.002    0.000    0.006    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\var.py:85(has_ub)
      124    0.002    0.000    0.017    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\packaging\core.py:81(__init__)
     4583    0.002    0.000    0.013    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\json\encoder.py:413(_iterencode)
     7246    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
     1612    0.002    0.000    0.005    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\colors.py:105(__iter__)
      374    0.002    0.000    0.004    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
2560/2526    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\opt\results\container.py:286(__setattr__)
     2338    0.002    0.000    0.006    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\var.py:80(has_lb)
      624    0.002    0.000    0.004    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\dtypes\common.py:1429(is_extension_array_dtype)
      424    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\component.py:427(__init__)
      687    0.002    0.000    0.003    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\re.py:289(_compile)
      144    0.002    0.000    0.002    0.000 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\model_preparation.py:487(braP_rule)
       63    0.002    0.000    0.002    0.000 {pandas._libs.lib.to_object_array}
      189    0.002    0.000    0.012    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\indexes\base.py:7106(_maybe_cast_data_without_dtype)
      126    0.002    0.000    0.020    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\frame.py:3463(__getitem__)
     3573    0.002    0.000    0.002    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\base.py:46(kind)
       63    0.002    0.000    0.002    0.000 {pandas._libs.lib.infer_dtype}
      124    0.002    0.000    0.003    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\utils\datetime.py:35(from_ISO8601)
      124    0.002    0.000    0.051    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\serialisable.py:231(__copy__)
       63    0.002    0.000    0.107    0.002 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\excel\_base.py:1219(inspect_excel_format)
      720    0.002    0.000    0.091    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:189(_check_zipfile)
      378    0.002    0.000    0.005    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\common.py:229(asarray_tuplesafe)
       17    0.002    0.000    0.002    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      125    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\internals\managers.py:2060(_stack_arrays)
     1214    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\var.py:315(copy)
      378    0.002    0.000    0.005    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\numpy\core\numeric.py:289(full)
      231    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      720    0.002    0.000    0.199    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\filemanager.py:56(_open_bytestream)
     1880    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_list_like}
      440    0.002    0.000    0.011    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      692    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
      188    0.002    0.000    0.004    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\internals\blocks.py:2043(new_block)
      288    0.002    0.000    0.002    0.000 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\arrange_line_order_function.py:20(<listcomp>)
      186    0.002    0.000    0.008    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\borders.py:87(__init__)
      503    0.002    0.000    0.062    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\indexes\base.py:6987(ensure_index)
      124    0.002    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\etree\ElementTree.py:1726(close)
     2523    0.001    0.000    0.001    0.000 {method 'seekable' of '_io.BufferedReader' objects}
      144    0.001    0.000    0.021    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\content.py:19(__init__)
       63    0.001    0.000    0.218    0.003 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\parsers\readers.py:1245(read)
     4522    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\constraint.py:317(body)
     3017    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\attrconverters.py:85(cnv_double)
  624/415    0.001    0.000    0.023    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\set.py:1997(construct)
     1489    0.001    0.000    0.006    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\abc.py:117(__instancecheck__)
      374    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\numpy\core\_ufunc_config.py:131(geterr)
      189    0.001    0.000    0.005    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\warnings.py:130(filterwarnings)
      144    0.001    0.000    0.002    0.000 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\model_preparation.py:500(braQ_rule)
      126    0.001    0.000    0.169    0.001 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\compat\_optional.py:87(import_optional_dependency)
      846    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\zipfile.py:1814(__del__)
      186    0.001    0.000    0.012    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\named_styles.py:51(__init__)
        2    0.001    0.001    0.001    0.001 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\propertymixins.py:59(IntegerWithLowerLimitProperty)
      434    0.001    0.000    0.003    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\colors.py:57(__set__)
      189    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\dtypes\cast.py:1962(construct_1d_object_array_from_listlike)
1399/1020    0.001    0.000    0.004    0.000 {pyomo.core.expr.numvalue.value}
       62    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\excel\_openpyxl.py:598(<listcomp>)
      126    0.001    0.000    0.004    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\internals\managers.py:1016(iget)
      124    0.001    0.000    0.008    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\workbook\defined_name.py:88(__init__)
     1505    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\dtypes\inference.py:321(is_hashable)
      124    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\workbook\workbook.py:308(<listcomp>)
       63    0.001    0.000    0.023    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\parsers\readers.py:887(__init__)
      314    0.001    0.000    0.004    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\_config\config.py:109(_get_single_key)
      692    0.001    0.000    0.004    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\indexes\base.py:7082(maybe_extract_name)
     3672    0.001    0.000    0.001    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\conf.py:24(get_strategy)
      248    0.001    0.000    0.014    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\fills.py:57(from_tree)
      938    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\construction.py:630(_sanitize_ndim)
        1    0.001    0.001    0.002    0.002 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\model_preparation.py:68(readVarPara)
        4    0.001    0.000    0.001    0.000 {built-in method nt.pipe}
     1798    0.001    0.000    0.007    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\base.py:226(__set__)
      372    0.001    0.000    0.144    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\sequence.py:84(from_tree)
     1063    0.001    0.000    0.006    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\construction.py:379(extract_array)
        1    0.001    0.001  266.150  266.150 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\investment_model_pt1.py:31(InvPt1_function)
       63    0.001    0.000    0.152    0.002 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\frame.py:587(__init__)
      126    0.001    0.000    0.013    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\series.py:943(__getitem__)
      926    0.001    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
  251/189    0.001    0.000    0.052    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\copy.py:66(copy)
     9356    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
      503    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\internals\managers.py:1848(internal_values)
      144    0.001    0.000    0.010    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\body.py:19(__init__)
       18    0.001    0.000    0.002    0.000 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\run_OPF_jl.py:564(process_flex_result)
      749    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\dtypes\common.py:1148(needs_i8_conversion)
     1836    0.001    0.000    0.001    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\conf.py:33(get_maxcols)
     3161    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\element.py:308(__init__)
      756    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
      434    0.001    0.000    0.004    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\numbers.py:104(is_date_format)
       63    0.001    0.000    0.015    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\parsers\readers.py:1193(_make_engine)
     5053    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
     6939    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\var.py:171(is_variable_type)
      288    0.001    0.000    0.030    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\table.py:133(column)
     1423    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\set.py:1223(get)
       63    0.001    0.000   12.668    0.201 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\excel\_base.py:499(__init__)
        3    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\opendocument.py:922(__fixXmlPart)
      124    0.001    0.000    0.008    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\workbook\views.py:41(__init__)
      124    0.001    0.000    0.008    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\workbook\properties.py:100(__init__)
      189    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\parsers\python_parser.py:667(_next_line)
      434    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\packaging\manifest.py:157(findall)
     7141    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\var.py:167(is_constant)
      720    0.001    0.000    0.017    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\manifest.py:28(get_file_entry_or_create_new)
      454    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      288    0.001    0.000    0.002    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\variables.py:17(__init__)
     4794    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      372    0.001    0.000    0.007    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\base.py:262(__set__)
       63    0.001    0.000   15.508    0.246 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\excel\_base.py:422(read_excel)
      314    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\_config\config.py:589(_get_root)
     1836    0.001    0.000    0.001    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\cellspancontroller.py:18(__init__)
       62    0.001    0.000    0.060    0.001 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\stylesheet.py:56(__init__)
       62    0.001    0.000    0.271    0.004 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\stylesheet.py:97(from_tree)
      624    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\dtypes\base.py:465(find)
       93    0.001    0.000    0.001    0.000 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\model_preparation.py:442(flexCostN_rule)
      864    0.001    0.000    0.001    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\styles.py:38(__init__)
      313    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\internals\blocks.py:1991(get_block_type)
  922/921    0.001    0.000    0.006    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\initializer.py:37(Initializer)
       62    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\parsers\python_parser.py:1121(<listcomp>)
       62    0.001    0.000    0.009    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\styles\named_styles.py:263(names)
     1101    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\json\encoder.py:223(floatstr)
      687    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\series.py:590(name)
       62    0.001    0.000    0.005    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\worksheet\page.py:39(__init__)
       16    0.001    0.000    0.001    0.000 {built-in method nt.close}
       62    0.001    0.000    0.018    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\base.py:1286(_arith_method)
      565    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\_config\config.py:603(_get_deprecated_option)
       63    0.001    0.000    0.004    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\parsers\python_parser.py:950(_rows_to_cols)
      144    0.001    0.000    0.012    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\body.py:41(__init__)
      126    0.001    0.000    0.003    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\urllib\parse.py:372(urlparse)
     2460    0.001    0.000    0.001    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pyomo\core\base\block.py:1485(<genexpr>)
      440    0.001    0.000    0.002    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\core\dtypes\common.py:1240(is_float_dtype)
       63    0.001    0.000    0.002    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
