         22117845 function calls (22082351 primitive calls) in 663.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6944    0.073    0.000    0.124    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\element.py:367(<listcomp>)
12958/6076    0.067    0.000    0.112    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\serialisable.py:204(__hash__)
    67208    0.067    0.000    0.088    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\cell\read_only.py:14(__init__)
     1836    0.064    0.000    0.108    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablecolumncontroller.py:92(_expand_repeated_content)
     6932    0.061    0.000    0.524    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\load.py:60(startElementNS)
    30942    0.060    0.000    0.072    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tableutils.py:89(rows)
    30942    0.058    0.000    0.323    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablenormalizer.py:100(expand_row)
111724/110478    0.058    0.000   11.394    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\etree\ElementTree.py:1252(iterator)
     6948    0.057    0.000    0.319    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\odf\element.py:351(__init__)
     6937    0.054    0.000    0.598    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\sax\expatreader.py:338(start_element_ns)
     1836    0.052    0.000    2.672    0.001 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablenormalizer.py:50(normalize)
       96    0.052    0.001    0.052    0.001 {built-in method builtins.print}
       11    0.052    0.005    0.052    0.005 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\json\decoder.py:343(raw_decode)
      846    0.050    0.000    0.050    0.000 {method 'close' of '_io.BufferedReader' objects}
    19468    0.050    0.000    0.256    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\pandas\io\excel\_openpyxl.py:582(<listcomp>)
    13488    0.048    0.000    0.048    0.000 {method 'seek' of '_io.BufferedReader' objects}
    31806    0.048    0.000    0.125    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\descriptors\base.py:64(__set__)
     2898    0.048    0.000    0.373    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\table.py:127(<listcomp>)
